Year (Latin),Year (English),Event (Latin),Event (English)
691,63,Cicero coniurationem Catalinae inhibit,Cicero stops the Cataline Conspiracy
691,63,C. Sallustius Crispus librum Bellum Catalinae scribit,Sallust writes the book The Cataline War
691,63,Pompeius Magnus Ierusaleum vicit,Pompey defeats the rebellion in Jerusalem
694,60,"Primus triumviratus inter Crassum, Pompeium Magnum, et Iulium Caesarem factus est ","The first triumvirate is formed among Crassus, Pompey the Great, and Julius Caesar"
695,59,Iulius Caesar cum Marcō Bibulō consul est,Julius Caesar is consul with Marcus Bibulus
696,58,Caesar Helvetiōs oppugnat et Bellum Gallicum incipit.,Caesar attacks the Helvetii begining the Gallic War.
696,58,Terentia multās epistulās marito suō Ciceronī qui in exilio erat scribit ,Terentia writes many letters to her husband Cicero who was in exile
699,55,Iulius Caesar ad Britanniam it. Est prīmus Rōmānus quī ad illam īnsulam advenit. ,Julius Caesar goes to Britain. He is the first Roman to go to the island.
700,54,"Catullus poeta, qui centum et sedecim poema scripserat, mortuus esse dicitur","The poet Catullua, who wrote 116 poems, is said to have died"
701,53,Crassus a Parthis occisus est apud Carrhas,Crassus is killed by the Parthians at Carrhae
702,52,Vercingetorix a Caesare victus et captus est in proelio apud Alesiam,Vercingetorix is defeated and captured by Caesar at the battle of Alesia
705,49,"""Alea iacta est."" Caesar flūmen Rubicōnem transit et bellum civīle contrā Pompeium et Senātum Rōmānum incipit.","""The die is cast."" Caesar crosses the river Rubicon and begins the civil war against Pompey and the Roman Senate."
705,49,Caesar Rōmae dictator sē facit.,Caesar makes himself dictator in Rome
706,48,Proelium apud Pharsālum inter Caesarem et Pompeium pugnatum est. Caesar vincit.,The Battle of Pharsalus between Caesar and Pompey is fought. Caesar wins.
706,48,"Pharnaces, rex Ponti et filius Mithradatis VI a Iulio Caesare facile victus est","Pharnaces, king of Pontus and son of Mithradates VI is easily defeated by Caesar"
707,47,Cleopatra VII regina Aegypta fit postquam Ptolemaios XIII a Iulio Caesare occisus est,Cleopatra VII becomes queen of Egypt after Ptolemy XIII is killed by Caesar
708,46,"Factio Pompeii Magni, a Catone Minore ducta, in Africa victa est","The Pompeiian Faction, led by Cato the Younger, is defeated in Africa"
709,45,"Titus Labienus, olim legatus Caesaris in Galliā, mortuus est contrā Caesarem pugnāns apud Mundam in Hispania","Caesar's former legate in Gaul, Titus Labienus, dies fighting against Caesar at the Battle of Munda in Hispania"
709,45,Kalendarium Iulianum adoptatum est,The Julian Calendar is adopted
710,44,Iulius Caesar dictatorem perpetuum declaratus est,Julius Caesar is declared Dictator for life
710,44,Idibus Martiis Gaius Iūlius Caesar ā senatoribus viginti et trēs vulneribus in curiā confossus est,"On the Ides of March, Julius Caesar is stabbed to death with 23 wounds by a group of senators"
711,43,"Marcus Antonius, Marcus Aemilius Lepidus, et Gaius Octavius secundum triumviratum formavērunt","Mark Antony, Marcus Aemilius Lepidus, and Octavian form the second triumvirate"
711,43,Aulus Hirtius octāvum et ultimum librum Bellī Gallicī Caesaris perfecit,Aulus Hirtius finishes Book VII of Caesar's Gallic Wars
711,43,Cicero in praescriptiōne secundī triumvirātī decapitatus est,Cicero is beheaded in the prescriptions of the second triumvirate.
712,42,Hortensia triumviratum secundum oratiōne praeclarā persuadet ut vectigal feminarum pecuniosarum obroget,Hortensia in a famous speech persuades the Second Triumvirate to repeal a tax on wealthy women
712,42,Brutus Cassiusque in proeliō apud Philippōs occiduntur,Brutus and Cassius are killed at the battle of Philippi
712,42,"Livia, quae posthac uxor Augusti futūra esset, flilium Tiberium Claudium Neronem parit.","Livia, who would later be the future wife of Augustus, gives birth to Tiberius."
723,31,Proelium navale apud Actium inter Anontii Cleopatraeque copias et copias Octavianī pugnatum est.,The naval Battle of Actium between the forces of Antony and Cleopatra and those of Octavian takes place.
724,30,Marcus Antonius Cleopatraque sē interfecērunt.,Marc Antony and Cleopatra commit suicide.
725,29,Bellum Cantabrium in quō Rōmānī totam partem reliquam Hispaniam ā Gallīs capiunt incepit.,"The Cantabrian War, in which the Romans take control of the entire remaining part of Celtic Iberia begins."
726,28,Templum Apollinis in monte Palatino aedificatum est.,The Temple of Apollo on the Palatine hill is built.
727,27,Augustus princeps fit et tribuniciam potestam perpetuam accipit.,"Augustus becomes ""Princeps"" (Emperor) taking the power of the Tribunes for life."
727,27,"Marcus Terentius Varro, qui magnum numerum librōrum de rebus variis vitae Romanae scripsit, mortuus est.","Marcus Terentius Varro, who had written a large number of books about many topics of Roman life, dies."
729,25,Augustus provinciam Galatiam imperiō Rōmānō addidit.,Augustus annexes the province of Galatia.
